Vivado Simulator 2020.2
Time resolution is 1 ps
t=0 rst=0 clk=0 | wr_en=0 wr_addr=0 wr_data=0000 | rd0=0:xxxx rd1=0:xxxx | S1=0 S2=0 imm=0000 ALUOp=0000 | in1=xxxx in2=xxxx out=xxxx ovf=x br=0
t=10000 rst=0 clk=1 | wr_en=0 wr_addr=0 wr_data=0000 | rd0=0:xxxx rd1=0:xxxx | S1=0 S2=0 imm=0000 ALUOp=0000 | in1=xxxx in2=xxxx out=xxxx ovf=x br=0
t=20000 rst=0 clk=0 | wr_en=0 wr_addr=0 wr_data=0000 | rd0=0:xxxx rd1=0:xxxx | S1=0 S2=0 imm=0000 ALUOp=0000 | in1=xxxx in2=xxxx out=xxxx ovf=x br=0
t=30000 rst=1 clk=1 | wr_en=0 wr_addr=0 wr_data=0000 | rd0=0:0000 rd1=0:0000 | S1=0 S2=0 imm=0000 ALUOp=0000 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=40000 rst=1 clk=0 | wr_en=1 wr_addr=0 wr_data=000a | rd0=0:0000 rd1=0:0000 | S1=0 S2=0 imm=0000 ALUOp=0000 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=50000 rst=1 clk=1 | wr_en=1 wr_addr=0 wr_data=000a | rd0=0:0000 rd1=0:0000 | S1=0 S2=0 imm=0000 ALUOp=0000 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=51000 rst=1 clk=1 | wr_en=0 wr_addr=0 wr_data=000a | rd0=0:0000 rd1=0:0000 | S1=0 S2=0 imm=0000 ALUOp=0000 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=60000 rst=1 clk=0 | wr_en=1 wr_addr=1 wr_data=000b | rd0=0:0000 rd1=0:0000 | S1=0 S2=0 imm=0000 ALUOp=0000 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=70000 rst=1 clk=1 | wr_en=1 wr_addr=1 wr_data=000b | rd0=0:0000 rd1=0:0000 | S1=0 S2=0 imm=0000 ALUOp=0000 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=71000 rst=1 clk=1 | wr_en=0 wr_addr=1 wr_data=000b | rd0=0:0000 rd1=0:0000 | S1=0 S2=0 imm=0000 ALUOp=0000 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=80000 rst=1 clk=0 | wr_en=1 wr_addr=2 wr_data=000c | rd0=0:0000 rd1=0:0000 | S1=0 S2=0 imm=0000 ALUOp=0000 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=90000 rst=1 clk=1 | wr_en=1 wr_addr=2 wr_data=000c | rd0=0:0000 rd1=0:0000 | S1=0 S2=0 imm=0000 ALUOp=0000 | in1=0000 in2=0000 out=0000 ovf=0 br=0
t=91000 rst=1 clk=1 | wr_en=0 wr_addr=2 wr_data=000c | rd0=0:0000 rd1=0:0000 | S1=0 S2=0 imm=0000 ALUOp=0000 | in1=0000 in2=0000 out=0000 ovf=0 br=0
