Time resolution is 1 ps
a=0000000000100101 , b=0000000001000101 , f=0000000001101010 , ovf=0 , time=                   0
a=1010010000010101 , b=1010010101010101 , f=0100100101101010 , ovf=1 , time=                  10
a=1111000100010101 , b=1111001000010101 , f=1110001100101010 , ovf=0 , time=                  20
a=1001110100000000 , b=1001111000000000 , f=0011101100000000 , ovf=1 , time=                  30
a=1110110100000000 , b=1110111100000011 , f=1101110000000011 , ovf=0 , time=                  40
a=1000101000010000 , b=0111000100010000 , f=1111101100100000 , ovf=0 , time=                  50
a=0010000110101010 , b=0010000110111011 , f=0100001101100101 , ovf=0 , time=                  60
a=1001101000000000 , b=1001111101001111 , f=0011100101001111 , ovf=1 , time=                  70
a=0000000001000000 , b=0000000000000000 , f=0000000001000000 , ovf=0 , time=                  80
a=0000000000001111 , b=0000000000000001 , f=0000000000010000 , ovf=0 , time=                  90
a=0000000001111111 , b=0000000000000001 , f=0000000010000000 , ovf=0 , time=                 100
$stop called at time : 110 ns : File "C:/Users/janarthanan.ak/Desktop/lab0_aj/lab1/lab1.srcs/sources_1/new/adder16_tb.sv" Line 40
